id,name,manhinh,cpu,ram,loaibonho,dungluongbonho,gpu,trongluong,gia,class
4582,Yoga 720-13IKB,13.3,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,1.3,1034,VanPhong
4341,Thinkpad 13,13.3,Intel Core i7 7500U 2.7GHz,8,SSD,256,Intel HD Graphics 620,1.4,1010,VanPhong
4583,IdeaPad 320-15AST,15.6,AMD E-Series E2-9000 2.2GHz,4,SSD,128,AMD Radeon R2 Graphics,2.2,349,VanPhong
4100,Thinkpad Yoga,14,Intel Core i7 7500U 2.7GHz,16,SSD,1024,Intel HD Graphics 620,1.42,2824,VanPhong
4342,IdeaPad 320s-14IKB,14,Intel Core i3 7130U 2.7GHz,4,SSD,128,Intel HD Graphics 620,1.7,599,VanPhong
4584,Pavilion X360,14,Intel Core i3 7100U 2.4GHz,4,SSD,128,Nvidia GeForce 940MX,1.63,699,VanPhong
4101,K147 (N3350/4GB/32GB/FHD/W10),14,Intel Celeron Dual Core N3350 1.1GHz,4,Flash Storage,32,Intel HD Graphics 500,1.3,260,PhoThong
4343,Thinkpad T570,15.6,Intel Core i7 7600U 2.8GHz,16,SSD,512,Nvidia GeForce 940MX,2.3,2445,VanPhong
4585,GP62 7RDX,15.6,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1280,Nvidia GeForce GTX 1050,2.4,1294,ChuyenNghiep
4102,Mi Notebook,13.3,Intel Core i5 7200U 2.5GHz,8,SSD,256,Nvidia GeForce MX150,1.3,999.9,VanPhong
4344,Thinkpad P51,15.6,Intel Core i7 7820HQ 2.9GHz,16,SSD,512,Nvidia Quadro M2200M,2.5,2449,ChuyenNghiep
4586,Zenbook 3,14,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,1.1,1135,VanPhong
4334,Alienware 17,17.3,Intel Core i7 7820HK 2.9GHz,16,SSD+HDD,1280,Nvidia GeForce GTX 1070,4.42,2799,ChuyenNghiep
4576,Latitude 3580,15.6,Intel Core i5 7200U 2.5GHz,8,HDD,1024,Intel HD Graphics 620,2.06,955,PhoThong
4335,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,8,SSD+HDD,1152,Nvidia GeForce GTX 1050 Ti,2.62,1159,ChuyenNghiep
4577,15-bs012nv (i7-7500U/8GB/1TB/Radeon,15.6,Intel Core i7 7500U 2.7GHz,8,HDD,1024,AMD Radeon 530,2.1,745,PhoThong
4336,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8,SSD+HDD,2304,AMD Radeon 530,2.02,1142.4,ChuyenNghiep
4578,Tecra Z50-D-10E,15.6,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,2,1258,VanPhong
4337,Latitude 5480,14,Intel Core i7 7600U 2.8GHz,8,SSD,256,Intel HD Graphics 620,1.6,1099,VanPhong
4579,Aspire 3,15.6,Intel Core i3 6006U 2GHz,4,SSD,128,Intel HD Graphics 520,2.1,412,VanPhong
4338,Omen 17-w207nv,17.3,Intel Core i7 7700HQ 2.8GHz,12,SSD+HDD,1280,Nvidia GeForce GTX 1070,3.35,1999,ChuyenNghiep
4339,FlexBook Edge,11.6,Intel Celeron Dual Core N3350 1.1GHz,4,SSD,32,Intel HD Graphics 500,1.16,299,VanPhong
4590,GV62M 7RD,15.6,Intel Core i5 7300HQ 2.5GHz,8,SSD,256,Nvidia GeForce GTX 1050,2.2,997.9,ChuyenNghiep
4591,L502NA-GO052T (N3350/4GB/128GB/W10),15.6,Intel Celeron Dual Core N3350 1.1GHz,4,SSD,128,Intel HD Graphics 500,1.86,419,VanPhong
4350,IdeaPad 320-15AST,17.3,AMD A6-Series 9220 2.5GHz,8,HDD,1024,AMD Radeon R4,2.8,519,PhoThong
4592,Alienware 15,15.6,Intel Core i5 7300HQ 2.5GHz,16,SSD+HDD,1152,Nvidia GeForce GTX 1060,3.21,2051,ChuyenNghiep
4351,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,4,SSD,256,AMD Radeon 530,2.2,749,VanPhong
4593,17-bs000nv I3,17.3,Intel Core i3 6006U 2GHz,4,SSD,256,AMD Radeon R5 520,2.5,699,VanPhong
4110,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1536,Nvidia GeForce GTX 1060,2.65,1845,ChuyenNghiep
