Brand,Model,Benchmark
Nvidia,GeForce GTX 580M,12
AMD,HD 6850,12
Nvidia,GTX 670MX,11.7
Nvidia,GeForce GTX 555,11.6
Nvidia,GeForce GTX 560 SE,11.6
Nvidia,MX150-2,11.3
Nvidia,GTX 675M,11.3
Nvidia,GeForce GTX 485M,11.2
Nvidia,GTX 760M,11
Nvidia,Quadro K4000M,10.9
Nvidia,Quadro 5000,10.8
Nvidia,Quadro K3100M,10.8
Nvidia,Quadro K620,10.7
AMD,HD 6790,10.5
Intel,Iris Pro HD 6200 (Desktop),10.4
AMD,Radeon 540,10.4
Nvidia,GTX 460 SE,10.3
AMD,HD 5770,10.2
AMD,HD 6970M,10.1
Nvidia,GeForce GTX 645,10
AMD,RX Vega 8 (Ryzen iGPU),10
Nvidia,GTX 670M,9.85
Nvidia,GTX 745 (OEM),9.84
AMD,RX Vega 10 (Ryzen iGPU),9.84
Nvidia,GeForce GTX 295 (SLI Disabled),9.81
AMD,Radeon HD 6770,9.78
AMD,FirePro M8900,9.51
Nvidia,GTX 550-Ti,9.43
AMD,Radeon HD 7800M,9.39
Nvidia,GeForce GT 755M,9.34
Nvidia,MX130,9.34
AMD,R9 M370X,9.34
AMD,FirePro M6000,9.23
Nvidia,GeForce GTX 570M,9.22
Intel, Iris Plus 650 (Mobile Kaby Lake),9.18
AMD,FirePro M5100 (FireGL V),9.11
Nvidia,GeForce GTX 480M,9.01
Nvidia,GTX 650,8.97
Nvidia,940MX,8.77
AMD,R7 250E,8.77
Nvidia,GTX 940M,8.76
AMD,R7 250,8.6
AMD,HD 7750,8.56
Nvidia,GeForce 840M,8.54
Nvidia,GeForce GTX 285,8.5
Intel,Iris 550 (Mobile Skylake),8.35
Nvidia,GeForce GT 740,8.29
Intel,Iris Plus 640 (Mobile Kaby Lake),8.28
Nvidia,GTX 275,8.24
Nvidia,GeForce GT 750M,8.21
AMD,HD 5750,8.2
AMD,Mobility Radeon HD 5870,8.05
Nvidia,930MX,7.98
Nvidia,Quadro K2000,7.84
Nvidia,GeForce GTX 280,7.75
Nvidia,GTX 660M,7.72
AMD,Radeon HD 6700,7.71
Nvidia,Quadro K3000M,7.7
Nvidia,GeForce GTS 450,7.6
Nvidia,Quadro 4000M,7.55
Nvidia,Quadro 4000,7.54
Nvidia,Quadro FX 5800,7.54
Intel,Iris 540 (Mobile Skylake),7.51
Nvidia,Quadro K2100M,7.49
Nvidia,GeForce GTX 560M,7.41
AMD,Radeon HD 7700M,7.39
Nvidia,GeForce GT 745M,7.37
AMD,FirePro M4000,7.33
AMD,FirePro V5900 (FireGL V),7.33
Nvidia,GeForce GT 640,7.1
AMD,Radeon  530,6.99
Intel,Iris Pro HD 6100 (Mobile),6.99
Nvidia,GTX 260,6.88
Nvidia,GeForce GT 650M,6.86
Nvidia,GeForce 9800 GTX,6.83
AMD,HD 7730,6.73
Nvidia,GeForce GTX 460M,6.7
AMD,RX Vega 6 (Ryzen iGPU),6.67
Intel,Iris Pro HD 5200 (V1 Mobile 1.15 GHz),6.65
Nvidia,GeForce GTS 250,6.53
AMD,Radeon R7 Graphics,6.52
AMD,FirePro V4900,6.49
Intel,UHD Graphics 630 (Desktop Coffee Lake i5 i7),6.49
Nvidia,GeForce 830M,6.49
AMD,Radeon HD 8570,6.47
Nvidia,GeForce 8800 GTS-512,6.39
Intel,HD 6000 (Mobile),6.36
AMD,Mobility Radeon HD 5850,6.3
Intel,Iris Pro HD 5200 (V2 Mobile 1.2 GHz),6.22
Nvidia,Quadro 2000,6.14
Nvidia,GeForce GT 545,6.06
Nvidia,Quadro FX 3800,5.98
Intel,HD 630 (Desktop Kaby Lake),5.96
Intel,UHD Graphics 620 (Mobile Kaby Lake R),5.94
Nvidia,GeForce GTS 240,5.92
Nvidia,Quadro K2000M,5.88
Nvidia,920MX,5.8
Nvidia,GeForce GT 740M,5.79
Nvidia,GeForce GT 635,5.79
Intel,UHD Graphics 630 (Desktop Coffee Lake i3),5.78
AMD,Radeon HD 6670,5.77
AMD,R7 240,5.75
Nvidia,Quadro 3000M,5.66
Intel,HD P530 (Server Skylake),5.66
AMD,Radeon HD 7670,5.62
Nvidia,GeForce GTX 280M,5.61
Nvidia,GeForce 8800 GT,5.59
Intel,HD 530 (Desktop Skylake),5.54
Nvidia,GeForce GTX 285M,5.54
AMD,Radeon  HD 6770M,5.48
AMD,Radeon HD 5670,5.46
AMD,Radeon HD 6700M,5.45
Nvidia,Quadro FX 3800M,5.36
Nvidia,GeForce GT 640M,5.35
Nvidia,Quadro K1100M,5.28
Nvidia,GeForce 8800 Ultra,5.21
Intel,HD 620 (Mobile Kaby Lake),5.19
Nvidia,GeForce 9800 GT,5.18
AMD,Radeon HD 6730M,5.16
AMD,Radeon HD 7570,5.14
Nvidia,Quadro FX 3700M,5.03
Intel,HD 530 (Mobile Skylake),5.02
AMD,Radeon HD 6750M,4.93
AMD,Radeon HD 8670D,4.88
Nvidia,GeForce GT 730,4.84
Intel,HD 520 (Mobile Skylake),4.81
AMD,Radeon HD 7660D,4.8
Nvidia,Quadro 2000M,4.8
AMD,RX Vega 3 (Ryzen iGPU),4.76
Nvidia,GeForce 8800 GTX,4.73
AMD,Radeon 520,4.73
Nvidia,GeForce GT 445M,4.66
AMD,Radeon HD 6570,4.65
Nvidia,Quadro FX 3700,4.57
Nvidia,GeForce GT 555M,4.5
Intel,Iris Pro HD 5100 (Mobile 1.1 GHz),4.5
Nvidia,GeForce 8800 GS,4.45
AMD,Radeon HD 8650G,4.35
Nvidia,GeForce GTX 260M,4.23
Nvidia,Quadro FX 2800M,4.21
AMD,Radeon HD 6630M,4.18
AMD,Radeon HD 7670M,4.18
Intel,HD 5500 (Mobile 0.95 GHz),4.16
AMD,Radeon HD 7660G,4.15
AMD,Radeon HD 5570,4.14
Intel,HD 615 (Mobile Kaby Lake),4.12
Nvidia,GeForce GTS 360M,3.95
Nvidia,GeForce 9600 GT,3.94
AMD,Radeon HD 7600M,3.93
AMD,Mobility Radeon HD 5730,3.91
Nvidia,GeForce 8800 GTS,3.91
Nvidia,GeForce GT 440,3.9
Nvidia,GeForce GT 720,3.88
Nvidia,GeForce GT 240,3.88
Intel,HD Graphics P4600,3.82
AMD,Radeon HD 8570D,3.76
Nvidia,GeForce GT 630,3.75
Nvidia,Quadro FX 4600,3.75
Intel,HD 5000 (Mobile 1.0/1.1 GHz),3.71
Nvidia,Quadro K600,3.7
Nvidia,NVS 5400M,3.7
Intel,HD 4600 (Desktop 1.25 GHz),3.67
Intel,HD 515 (Mobile Skylake),3.66
Nvidia,GeForce 820M,3.65
AMD,Radeon HD 7650M,3.65
AMD,Radeon HD 7560D,3.64
Nvidia,Quadro K1000M,3.62
Nvidia,GeForce GT 710,3.56
Nvidia,GeForce 9800M GTS,3.54
AMD,Radeon HD 8610G,3.52
Nvidia,GeForce GT 720M,3.51
Intel,HD P4000 (Server 1.25 GHz),3.5
Nvidia,GeForce 710M,3.47
Nvidia,GeForce GT 550M,3.46
Nvidia,GeForce GT 230,3.46
Nvidia,Quadro FX 1800,3.41
Nvidia,NVS 510,3.41
AMD,Radeon HD 6550D,3.4
Intel,HD 4600 (Mobile 1.15 GHz),3.34
Nvidia,GeForce GT620M,3.33
Nvidia,GeForce GT 530,3.32
AMD,Radeon HD 7500M,3.31
Intel,HD 4000 (Desktop 1.15 GHz),3.25
Nvidia,GeForce GT 630M,3.24
Nvidia,GeForce GT 430,3.23
AMD,Radeon HD 8550G,3.23
Nvidia,GeForce GT 635M,3.22
AMD,Radeon HD 6500M,3.21
Nvidia,GeForce GT 320,3.19
Nvidia,GeForce GTS 250M,3.17
